INTL_20160728_000028	为服务器中所有角色应用代币福利,持续7天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장				
INTL_20161107_000029	右键点击获取以下物品:{nl} - 150x 高浓度生命药水 {nl} -  150x 高浓度精神药水 {nl}- 20x 蜂蜜团子 {nl}- 20x 村庄支援药水{nl}- 10x 实例通关凭证 ★{nl}- 20x 灵魂水晶{nl} - 30x瞬移卷轴 {nl}- 10x 符文卷轴{nl} - 1x 技能重置药水{nl}- 1x 属性重置药水	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 150개{nl} - 고농축 SP포션 150개{nl} - 대왕꿀송편 20개{nl}- 정착지원 포션 20개{nl}- 인스턴스 던전 소탕권 [★] 10개{nl}- 소울 크리스탈 20개{nl}- 워프주문서 30개{nl}- 마부스크롤 10개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개				
INTL_20161114_000030	市场销售白银付款延迟:24小时.	마켓 판매 실버대금 딜레이 24시간.				
INTL_20161114_000031	使用令牌时销售白银付款延迟:1小时.	토큰전용 판매실버대금 1시간.				
INTL_20161114_000032	使用令牌时销售白银付款延迟:24小时.	토큰전용 판매실버대금 24시간.	INTL_20161114_000031	使用令牌时销售白银付款延迟:1小时.	토큰전용 판매실버대금 1시간.	
INTL_20161121_000033	鼠标右键点击即可开启并获得箱子内容物.{nl} - 高浓缩HP药水 100个{nl} - 高浓缩SP药水 100个{nl} - 大王蜜松糕 10个{nl}- 定居支援药水 10个{nl}- 即时副本扫荡券 [★] 5个{nl}- 技能重置药水 1个{nl}- 属性重置药水 1个	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 100개{nl} - 고농축 SP포션 100개{nl} - 대왕꿀송편 10개{nl}- 정착지원 포션 10개{nl}- 인스턴스 던전 소탕권 [★] 5개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개				
INTL_20161214_000034	VIP使用者不受上/下限价格影响.	토큰 사용자는 상/하안가에 영향을 받지 않는다.				
INTL_20161214_000035	VIP就算在市场交易后也可以继续交易吗?(1:可交易, 0:不可交易)	토큰은 마켓에서 거래한 이후에도 계속 거래 가능하게 할 것인가?(1:거래가능, 0:거래불가)				
INTL_20170510_000036	点击鼠标右键即可开启并获得箱子内容物.{nl} - VIP:7天[限时]{nl} - 魔法赋予卷轴(限时) 10个{nl} - 表情符号 Plus 礼包 : 波波小狮王{nl}- 简洁套装箱子{nl}- 芭蕉扇(30天){nl} - 赤红贝雷帽{nl} - 亮鲑红染色药{nl} - 绯红隐形眼镜{nl} - 定居支援药水 Lv2 10个{nl} -凯伊托恢复药水Lv2 20个	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰:7일[증정용]{nl} - 마법 부여 스크롤(14일) 10개{nl} - 이모티콘 플러스 패키지 : 포포리온{nl}- 심플 코스튬 상자{nl}- 파초선(30일){nl} - 붉은 베레모{nl} - 라이트 살몬 염색약{nl} - 크림슨 렌즈{nl} - 정착 지원 포션 Lv2 10개{nl} - 케이스타스 회복포션Lv2 20개				
INTL_20170605_000037	为无名女王所制造的王冠.{nl} 可以到回收商店用代币交换.	이름없는 여왕을 위해서 제작된 왕관입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000038	一种由长弹性材料制成的工具,当施加力时,转动产生能量.{nl} 可以在兑换商店中兑换为奖章.	축을 중심으로 돌려서 길다란 고탄성 소재를 감은뒤 그것이 돌아가는 힘을 이용해 동력을 만들어내는 장치입니다.{nl}리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000039	可以很快速地烤面包的工具.{nl} 可以到回收商店用代币交换.	쉽게 빠르게 빵을 굽는 도구입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000040	这个世界传递情报的最新技能.{nl} 可以到回收商店用代币交换.	정보를 전달하는 이 세계의 최신 기술입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170703_000041	脖子可以转270度.{nl} 可以到回收商店用代币交换.	고개를 약 270도 까지 돌리는 것이 가능합니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170703_000042	雕刻师所制作的可以戴的世界树雕刻头饰.{nl} 可以到回收商店用代币交换.	딥디르비가 만든 착용 가능한 세계수 조각 머리 장식입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170728_000043	斯巴达!!!!!{nl} 可以到回收商店用代币交换.	스파르타!!!!!{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170925_000044	为您服务器内的所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 能够瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 能够在市场上架多达10个物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物经验值增加30%{nl} - 能够使用高级姿势{nl} - BUFF最大数量增加{nl} - 能够使用个人交易,最高可用30次{nl} - 额外的任务和副本进入机会1次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000025	为您服务器内的所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 能够瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 能够在市场上架多达10个物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物经验值增加30%{nl} - 能够使用高级动作{nl} - 增加BUFF的最大数量{nl} - 能够使用个人交易,最高可用30次{nl} - 额外的一个副本和任务入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000045	为您服务器内的所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场多达10个物品{nl} - 角色移动速度增加3{nl} - 猎杀怪物经验值增加30%{nl} - 可以使用高级动作{nl} - 增加BUFF的最大数量{nl} - 可以上使用个人交易,最高可用30次{nl} - 额外的一个任务和副本入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000027	为您服务器内的所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以立即学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl} - 可以使用高级手势{nl} - 增加BUFF的最大数量{nl} - 可以上使用个人交易,最高可用30次{nl} - 额外的一个副本和任务入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000046	为您服务器内的所有角色应用代币福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl}(与经验之书效果叠加){nl} - 可以使用高级手势{nl} - 增加BUFF的最大数量{nl} - 可以上使用个人交易,最高可用60次{nl} - 额外的一个副本和任务入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160426_000021	为您服务器内的所有角色应用代币福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl}(与经验之书效果叠加){nl} - 可以使用高级手势{nl} - 增加BUFF的最大数量{nl} - 可以上使用个人交易,最高可用60次{nl} - 额外的一个副本和任务入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20170925_000047	为您服务器内的所有角色应用代币福利,持续7天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl} - 可以使用高级手势{nl} - 增加BUFF的最大数量{nl} - 额外的一个副本和任务入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000028	为您服务器内的所有角色应用代币福利,持续7天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl} - 可以使用高级手势{nl} - 增加BUFF的最大数量{nl} - 额外的一个任务和副本入口	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장	
INTL_20171013_000048	特殊转化卷轴	특별한 변신 스크롤				
INTL_20171013_000049	允许用户变形的卷轴.	변신하는 스크롤입니다.				
INTL_20171013_000050	可以选择315制武器装备.	315제 무기 장비를 선택할 수 있습니다.				
INTL_20171023_000051	点击鼠标右键即可开始并获得内容物.{nl} - 小狗汽球{nl} - 钻石铁砧{nl} - 黄金铁砧 3个{nl}- 银光铁砧 3个{nl}- 强化银币折扣劵 : 10万银币10个{nl} - 特性点数 1,000{nl} - 高浓缩HP药水 20个{nl} - 高浓缩SP药水 20个{nl} - 定居支援药水Lv2 10个{nl} - 女神的雕像 5个{nl} - 高浓缩移动速度增加药水 5个	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 강아지 풍선{nl} - 다이아몬드 모루{nl} - 황금 모루 3개{nl}- 은빛 모루 3개{nl}- 강화 실버 할인 쿠폰 : 10만 실버 10개{nl} - 특성 포인트 1,000{nl} - 고농축 HP포션 20개{nl} - 고농축 SP포션 20개{nl} - 정착 지원 포션 Lv2 10개{nl} - 여신의 조각상 5개{nl} - 고농축 이동속도 증가 포션 5개				
INTL_20171103_000052	生存奖励魔方	생존 보상 큐브				
INTL_20171205_000053	- 可立即修练特性{nl} - 市场贩卖手续费率减少(30%{img white_right_arrow 16 16}10%){nl} - 市场贩卖登录道具数量10个{nl} - 角色移动速度+3{nl} - 任务、副本追加进场1次{nl} - 可以使用优惠动作{nl}	 - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 프리미엄 제스쳐 사용 가능{nl}	INTL_20160323_000004	- 可以同时学习最多2个属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多5个物品{nl} - 角色移动速度增加3点{nl} - 交易次数限制为30次{nl	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}	
INTL_20171205_000054	赋予您服务器内的所有角色代币福利,持续30天.查看剩余时间在角色信息下.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 可以在市场外注册项目,不受最低/最高价格限制{nl} - 可以瞬间收回市场白银{nl} - 猎杀怪物经验值增加30%{nl}(与经验宝典效果叠加){nl} - 可以使用高级手势{nl} - 额外+1奖励从萨鲁斯任务{nl} - 可以使用个人交易最多30次{nl} - 入侵地下城2颗石头折扣	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2	INTL_20170925_000044	将代币福利应用于服务器内的所有角色,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少 (30% {img white_right_arrow 16 16} 10%){nl} - 可以上架市场最多10个物品{nl} - 角色移动速度增加3点{nl} - 猎杀怪物经验值增加30%{nl} - 可以使用高级手势{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易最多30次{nl} - 额外1个任务和地下城入口次数	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	
INTL_20171222_000055	怪物卡片册箱子	몬스터 카드첩 상자				
INTL_20171222_000056	点击鼠标右键即可开启并获得箱子内容物.{nl} - 怪物卡片册 : 红色 x1{nl} - 怪物卡片册 : 蓝色 x1{nl} - 怪物卡片册 : 绿色 x1{nl} - 怪物卡片册 : 紫色 x1	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 몬스터 카드첩 : 레드 x1{nl} - 몬스터 카드첩 : 블루 x1{nl} - 몬스터 카드첩 : 그린 x1{nl} - 몬스터 카드첩 : 퍼플 x1				
INTL_20180102_000057	标题-2018 快乐新年	칭호 - 2018 Happy New Year				
INTL_20180102_000058	颁发给2018年新年祝福问候活动参与者的钥匙.{nl}看起来像是可以打开金条.	2018 Happy New Year Wishes Greetings 수상자에게 지급되는 열쇠입니다.{nl}금괴를 열 수 있을 것 같습니다.				
INTL_20180108_000059	颁发给2018年新年祝福问候活动参与者的钥匙.{nl}看起来像是可以打开某种金库.	2018 Happy New Year Wishes Greetings 수상자에게 지급되는 열쇠입니다.{nl}금고를 열 수 있을 것 같습니다.				
INTL_20180108_000060	从Facebook活动中获得了一把幸运钥匙!{nl}(2017年12月28日至2018年1月9日)	Lucky Key는 Facebook 이벤트에서 지급되었습니다.{nl}(2017년 12월 28일 ~ 2018년 1월 9일)				금괴
INTL_20180108_000061	金库	금고				
INTL_20180115_000062	颁发给Rank Update:4个新职业版!粉丝艺术节冠军的头衔.	Rank Update: 4 New Classes Edition! 수상자에게 지급되는 칭호입니다.				
INTL_20180115_000063	标题-新职业画家	칭호 - New Class Artist				
INTL_20180115_000064	颁发给Rank Update:4个新职业版!粉丝艺术节冠军的头衔.右键点击使用.	Rank Update: 4 New Classes Edition! 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180122_000065	戈洛宝箱	고로 상자				
INTL_20180123_000066	家门的荣光 1阶段	가문의 영광 1단계				
INTL_20180123_000067	消灭怪物获得经验值 +20%	몬스터 처치 시 획득 경험치 +20%				
INTL_20180123_000068	家门的荣光 2阶段	가문의 영광 2단계				
INTL_20180123_000069	消灭怪物获得经验值 +40%	몬스터 처치 시 획득 경험치 +40%	SKILL_20161226_007304	狩猎怪物经验值+60%{nl}移动速度+2	몬스터 처치 시 획득 경험치 +60%{nl}이동 속도 +2	
INTL_20180123_000070	家门的荣光 3阶段	가문의 영광 3단계				
INTL_20180123_000071	消灭怪物获得经验值 +60%	몬스터 처치 시 획득 경험치 +60%	SKILL_20161226_007306	狩猎怪物经验值+90%{nl}移动速度+3	몬스터 처치 시 획득 경험치 +90%{nl}이동 속도 +3	
INTL_20180123_000072	家门的荣光 4阶段	가문의 영광 4단계				
INTL_20180123_000073	消灭怪物获得经验值 +80%	몬스터 처치 시 획득 경험치 +80%	SKILL_20161226_007308	狩猎怪物经验值+120%{nl}移动速度+4	몬스터 처치 시 획득 경험치 +120%{nl}이동 속도 +4	
INTL_20180123_000074	家门的荣光 5阶段	가문의 영광 5단계				
INTL_20180202_000075	少女的心意	소녀의 마음				
INTL_20180202_000076	有著甜甜的味道,可以让脑袋清晰的巧克力.使用时在60分钟经验值增加50%.	달달한 맛으로, 뇌의 회전을 도와주는 초콜릿입니다. 사용 시, 1시간동안 경험치 획득량 +50% 효과를 얻습니다.				
INTL_20180214_000077	冬季将尽	마지막 겨울 버프				
INTL_20180214_000078	消灭怪物时获得经验值 +30%	몬스터 처치 시 획득 경험치 +30%				
INTL_20180214_000079	冬季钥匙	겨울 열쇠				
INTL_20180214_000080	可以在冬季企鹅活动中使用的钥匙.{nl}(活动结束时统一删除.)	마지막 겨울 이벤트에서 사용되는 열쇠입니다.{nl}(이벤트 종료 시 일괄 삭제됩니다.)				
INTL_20180214_000081	冰锥(14天)	고드름(14일)				
INTL_20180214_000082	冰锥的冰融化之后,里面会有什么呢?{nl}(冰锥只能在木柴周围使用.)	고드름을 녹이면 무엇이 들어있을까요?{nl}(고드름은 장작 주위에서만 사용 가능합니다.)				
INTL_20180214_000083	只要收集10把冬季钥匙就送你「冬季企鹅」.{nl}(冬季钥匙可以在冬季企鹅活动中获得.)	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(Winter Key는 2월 20일 이벤트에서 획득할 수 있습니다.)				금고
INTL_20180214_000084	正在进行冬季企鹅活动.{nl}参与活动可以得到冬季礼物和Buff,还有人见人爱的冬季企鹅.	마지막 겨울 이벤트가 진행 중입니다.{nl}마지막 겨울 선물과 버프는 물론, 신규 컴패니언 윈터펭도 만나보세요.				이벤트 알림판
INTL_20180214_000085	只要收集10把冬季钥匙就送你「冬季企鹅」.{nl}(到活动布告栏领取冬季企鹅活动的礼物吧!)	Winter Key 10개를 모으시면 "윈터펭" 을 드립니다.{nl}(이벤트 알림판에서 마지막 겨울 선물을 받으세요.)				금고
INTL_20180214_000086	使用冬季钥匙可以获得追加奖励.{nl}(每个冬季钥匙都有1次的追加奖励.)	Winter Key로 추가 보상을 받을 수 있습니다.{nl}(Winter Key 1개당 1회의 추가 보상이 주어집니다.)				금고
INTL_20180214_000087	已存在的Buff.	이미 버프가 존재합니다.				이벤트 알림판
INTL_20180214_000088	太早了.	너무 이릅니다.				이벤트 알림판
INTL_20180214_000089	冬季企鹅活动	마지막 겨울 이벤트				
INTL_20180214_000090	获得冬季企鹅活动BUFF	마지막 겨울 버프 받기				
INTL_20180214_000091	获得冬季企鹅活动礼物	마지막 겨울 선물 받기				
INTL_20180214_000092	周末经验助手	주말 경험치 지원				
INTL_20180219_000093	恶魔监狱公会(推荐等级:115){nl}只有你和你的队伍成员才能一起进入.{nl}确定要进入吗?	염원의 비석로 (권장 레벨:180)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000094	堕落的莱格温家族(推荐等级:230){nl}只有你和你的队伍成员才能一起进入.{nl}确定要进入吗?	쇠락한 르귄가문의 저택 (권장 레벨:230)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000095	地下城堡(推荐等级:300){nl}只有你和你的队伍成员才能一起进入.{nl}确定要进入吗?	캐슬 지하 (권장 레벨:300)에 입장하시겠습니까?{nl}당신과 파티를 맺은 플레이어만이 함께 입장할 수 있습니다.				
INTL_20180219_000096	经验助手	성장 지원 도우미				
INTL_20180305_000097	{nl}{CUBE} 使用次数 : {@st66d_y}{s18}{SUM}{/}{/}{nl}之后每使用{@st66d_y}{s18}{COUNT}{/}{/}次时,可以获得第{@st66d_y}{s18}{BOUNS}{/}{/}次奖励.{nl}现在可以获得{@st66d_y}{s18}{REWARD}{/}{/} 次奖励.{nl}您要领取吗?	 {nl}{CUBE} 사용 횟수 : {@st66d_y}{s18}{SUM}{/}{/}{nl}앞으로 {@st66d_y}{s18}{COUNT}{/}{/}회 사용시 {@st66d_y}{s18}{BOUNS}{/}{/}회 보상을 받을 수 있습니다.{nl}{@st66d_y}{s18}{REWARD}{/}{/} 회 보상을 받을 수 있습니다.{nl}수령하시겠습니까?				
INTL_20180305_000098	{nl}{CUBE} 使用次数 : {@st66d_y}{s18}{SUM}{/}{/}{nl}之后每使用{@st66d_y}{s18}{COUNT}{/}{/}次时,可以获得第{@st66d_y}{s18}{BOUNS}{/}{/}次奖励.  	 {nl}{CUBE}  사용 횟수 : {@st66d_y}{s18}{SUM}{/}{/}{nl}앞으로 {@st66d_y}{s18}{COUNT}{/}{/}회 사용시 {@st66d_y}{s18}{BOUNS}{/}{/}회 보상을 받을 수 있습니다.				
INTL_20180305_000099	红利魔方	보너스 큐브				
INTL_20180312_000100	颁发给第2周年粉丝绘图活动获奖者的头衔.	스팀 2주년 팬아트 수상자에게 주어지는 칭호 입니다.				
INTL_20180312_000101	标题-第二周年快乐!	칭호 - Happy 2nd Anniversary!				
INTL_20180312_000102	颁发给第2周年粉丝绘图活动获奖者的头衔.右键点击使用.	스팀 팬아트 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20180312_000103	{nl}您已被分配到队伍{@st66d_y}{s18}{TEAM}{/}{/}.{nl}击败怪物来收集{@st66d_y}{s18}{ITEM}s{/}{/}.	 {nl}{@st66d_y}{s18}{TEAM}{/}{/} 에 배정되었습니다.{nl}몬스터 처치시 {@st66d_y}{s18}{ITEM}{/}{/}을 획득할 수 있습니다.				
INTL_20180312_000104	物品兑换	아이템 교환				
INTL_20180312_000105	瓦伊沃拉团队挑战	마을 축제				
INTL_20180312_000106	活动BUFF	이벤트 버프				
INTL_20180316_000107	分享庆典用爆竹的力量.	기념을 축하하는 폭죽의 힘이 공유되고 있습니다.				
INTL_20180316_000108	闪亮的战斗鸦雀蛋	빛나는 전투 뱁새 알				
